title,address,phone,url,source_url,hours,id,rating,owners_count,reviews,description_status,description_text
Panos City Antwerpen (Groenplaats),"Eiermarkt 1A, 2000 Antwerpen, Belgique",+32 3 234 05 33,https://www.panos.be/nl/winkel/panos-city-antwerpen-%28groenplaats%29-23079,https://www.google.com/search?q=panos-city-antwerpen-groenplaats-Eiermarkt,"{'mardi': '06:30–19:00', 'mercredi': '06:30–19:00', 'jeudi': '06:30–19:00', 'vendredi': '06:30–19:00', 'samedi': '07:00–19:00', 'dimanche': '07:00–19:00', 'lundi': '06:30–19:00'}",23079,"3,6",,693,OK,
Panos City Antwerpen (Lange Lozana),"Lange Lozanastraat 288, 2018 Antwerpen, Belgique",+32 3 238 13 44,https://www.panos.be/nl/winkel/panos-city-antwerpen-%28lange-lozana%29-23024,https://www.google.com/search?q=panos-city-antwerpen-lange-lozana-Lange-Lozanastraat,"{'mardi': '06:00–16:00', 'mercredi': '06:00–16:00', 'jeudi': '06:00–16:00', 'vendredi': '06:00–15:00', 'samedi': 'Fermé', 'dimanche': 'Fermé', 'lundi': '06:00–16:00'}",23024,"3,7",,168,OK,
Panos City Antwerpen (Meir),"Meir 24, 2000 Antwerpen, Belgique",+32 3 232 15 17,https://www.panos.be/nl/winkel/panos-city-antwerpen-%28meir%29-23008,https://www.google.com/search?q=panos-city-antwerpen-meir-Meir,"{'mardi': '07:00–19:00', 'mercredi': '07:00–19:00', 'jeudi': '07:00–19:00', 'vendredi': '07:00–19:00', 'samedi': '07:00–19:30', 'dimanche': '08:00–18:30', 'lundi': '07:00–19:00'}",23008,"3,4",,1125,OK,
Panos City Antwerpen (Nationalestraat),"Nationalestraat 84, 2000 Antwerpen, Belgique",+32 3 234 25 66,https://www.panos.be/nl/winkel/panos-city-antwerpen-%28nationalestra%29-23019,https://www.google.com/search?q=Panos+City+Antwerpen+(Nationalestraat)&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzZOM0szNDcxN7ZIS0myMqgwTLIwt0hJMUtNTTFLSbRMWcSqFpCYl1-s4JxZUqngmFdSnlpUkJqnoOGXWJKZn5eYk1pcUpSYWKIJAJ1S8itSAAAA&hl=fr&mat=CQ9HGP4z7Ba1ElcBqiIDwgxCCfHgBHAy2MYvinQccQwXWpk6uu90Zb03Zs5ALBFo3b88oikn-X5i2yGb3m25uiEDLvLWN6IYP163_InPwXOM5PlEVFwxFIt7AEsjwaE9BMg&authuser=0,"{'mardi': '06:00–18:30', 'mercredi': '06:00–18:30', 'jeudi': '06:00–18:30', 'vendredi': '06:00–18:30', 'samedi': '07:00–18:30', 'dimanche': '07:30–18:00', 'lundi': '06:00–18:30'}",23019,"3,6",,277,OK,
Panos City Antwerpen (Van Wezenbeke),"Van Wesenbekestraat 1, 2018 Antwerpen, Belgique",+32 3 231 32 39,https://www.panos.be/nl/winkel/panos-city-antwerpen-%28van-wezenbeke%29-23015,https://www.google.com/search?q=panos-city-antwerpen-van-wezenbeke-Van-Wesenbekestraat,"{'mardi': '06:00–19:00', 'mercredi': '06:00–19:00', 'jeudi': '06:00–19:00', 'vendredi': '06:00–19:00', 'samedi': '06:30–19:30', 'dimanche': '06:30–19:00', 'lundi': '06:00–19:00'}",23015,"3,5",,480,OK,
Panos City Berchem,"Driekoningenstraat 94, 2600 Antwerpen, Belgique",+32 3 230 83 32,https://www.panos.be/nl/winkel/panos-city-berchem-antwerpen-23152,https://www.google.com/search?q=Panos+City+Berchem&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzZOMzcytjQyTUw2SrG0MqhITrI0MEhLMTY3NU5LSzExX8QqFJCYl1-s4JxZUqnglFqUnJGaCwAwK8pnPgAAAA&hl=fr&mat=CWZFbAIMKVF6ElYBqiIDwmMbhjXiU3QkDjbaOu7g-5MbfpI_nYz6EeEO3itaA8HiUhU29ZkCtdvtw-1NBuE9uviDaFHaVitQPs9j70lK5bjLXlUYYyq1MV7dh5ih8U_OtA&authuser=0,"{'mardi': '06:00–18:00', 'mercredi': '06:00–18:00', 'jeudi': '06:00–18:00', 'vendredi': '06:00–18:00', 'samedi': '07:00–17:00', 'dimanche': 'Fermé', 'lundi': '06:00–18:00'}",23152,"3,7",,265,OK,
Panos City Bilzen,"Onze Lieve Vrouwstraat 14, 3740 Bilzen, Belgique",+32 89 86 15 75,https://www.panos.be/nl/winkel/panos-city-bilzen-23108,https://www.google.com/search?q=panos-city-bilzen-Onze-Lieve-Vrouwestraat,"{'mardi': '07:00–17:00', 'mercredi': '07:00–17:00', 'jeudi': '07:00–17:00', 'vendredi': '07:00–17:00', 'samedi': '07:00–16:00', 'dimanche': 'Fermé', 'lundi': '07:00–17:00'}",23108,"4,3",,213,OK,
Panos City Bornem,"Boomstraat 19, 2880 Bornem, Belgique",+32 3 899 66 31,https://www.panos.be/nl/winkel/panos-city-bornem-23090,https://www.google.com/search?q=panos-city-bornem-Boomstraat,"{'mardi': '07:00–14:00', 'mercredi': 'Fermé', 'jeudi': 'Fermé', 'vendredi': 'Fermé', 'samedi': 'Fermé', 'dimanche': 'Fermé', 'lundi': '07:00–14:00'}",23090,"4,2",,177,OK,
Panos City Brasschaat,"Bredabaan 361, 2930 Brasschaat, Belgique",+32 3 844 03 12,https://www.panos.be/nl/winkel/panos-city-brasschaat-33003,https://www.google.com/search?q=panos-city-brasschaat-Bredabaan,"{'mardi': '06:30–18:00', 'mercredi': '06:30–18:00', 'jeudi': '06:30–18:00', 'vendredi': '06:30–18:00', 'samedi': '07:30–17:30', 'dimanche': 'Fermé', 'lundi': '06:30–18:00'}",33003,"2,9",,28,NOK,
Panos City Brugge (Torhoutsesteenweg),"Torhoutse Steenweg 258B, 8200 Brugge, Belgique",+32 50 89 34 04,https://www.panos.be/nl/winkel/,https://www.google.com/search?q=panos-city-brugge-torhoutsesteenweg-Torhoutse-Steenweg,"{'mardi': '06:00–18:00', 'mercredi': '06:00–18:00', 'jeudi': '06:00–18:00', 'vendredi': '06:00–18:00', 'samedi': '06:00–18:00', 'dimanche': '06:00–14:00', 'lundi': '06:00–18:00'}",33024,"4,4",,8,NOK,
Panos City Brugge (Zuidzandstraat),"Zuidzandstraat 10, 8000 Brugge, Belgique",+32 50 67 82 36,https://www.panos.be/nl/winkel/panos-city-brugge-zuidzandstraat-23293,https://www.google.com/search?q=panos-city-brugge-zuidzandstraat-Zuidzandstraat,"{'mardi': '07:00–18:30', 'mercredi': '07:00–18:30', 'jeudi': '07:00–18:30', 'vendredi': '07:00–18:30', 'samedi': '07:00–18:30', 'dimanche': '08:00–18:30', 'lundi': '07:00–18:30'}",23293,"3,7",,491,NOK,
Panos City Brussel (Grasmarkt),"Rue du Marché aux Herbes 85, 1000 Bruxelles, Belgique",+32 2 513 14 43,https://www.panos.be/nl/winkel/panos-brussel-23061,https://www.google.com/search?q=panos-city-brussel-grasmarkt-Grasmarkt,"{'mardi': '07:30–19:00', 'mercredi': '07:30–19:00', 'jeudi': '07:30–19:00', 'vendredi': '07:30–19:00', 'samedi': '08:00–19:00', 'dimanche': '09:00–19:00', 'lundi': '07:30–19:00'}",23061,"3,9",,329,NOK,
Panos City Brussel (Rogier),"Metro Rogier, Pl. Charles Rogier, 1210 Saint-Josse-ten-Noode, Belgique",+32 2 733 92 81,https://www.panos.be/nl/winkel/panos-city-brussel-%28rogier%29-sint-joost-ten-node-23146,"https://www.google.com/search?q=panos-city-brussel-rogier-Metro-Rogier,-Pl.-Charles-Rogier","{'mardi': '07:00–19:00', 'mercredi': '07:00–19:00', 'jeudi': '07:00–19:00', 'vendredi': '07:00–19:00', 'samedi': '08:30–18:00', 'dimanche': 'Fermé', 'lundi': '07:00–19:00'}",23146,"2,5",,66,NOK,
Panos,"Stationsstraat 1, 8420 De Haan, Belgique",+32 56 23 77 55,https://www.panos.be/nl/winkel/panos-city-de-haan-33025,https://www.google.com/search?q=Panos&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzZOSjG3MDU1tzQxSjS0MqhIMzU1MzMyNjJNNjY2tzQ2XMTKGpCYl18MAI-0ETkxAAAA&hl=fr&mat=CYxYGCSas23dElYBqiIDwqqSzQt3bkRBWGxXLzECqQSNczo_yjuNYhkfKF-tPGU6XTJhBKiYF9J6QaT26QFG37hyrYu0He1rnCQwfCYdvCqv107YaPmZmq72tqBvVYYpKg&authuser=0,"{'mardi': 'Fermé', 'mercredi': '07:00–18:00', 'jeudi': '07:00–18:00', 'vendredi': '07:00–18:00', 'samedi': '07:00–18:00', 'dimanche': '07:00–18:00', 'lundi': '07:00–18:00'}",33025,,,,NOK,
Panos City Dendermonde (Oude Vest),"Oude Vest 37, 9200 Dendermonde, Belgique",+32 52 21 81 67,https://www.panos.be/nl/winkel/panos-dendermonde-23040,https://www.google.com/search?q=panos-city-dendermonde-oude-vest-Oude-Vest,"{'mardi': '06:15–18:00', 'mercredi': '06:15–18:00', 'jeudi': '06:15–18:00', 'vendredi': '06:15–18:00', 'samedi': '06:15–18:00', 'dimanche': 'Fermé', 'lundi': '06:15–18:00'}",23040,"4,3",,114,OK,
Panos City Deurne (Herentalsebaan),"Herentalsebaan 309, 2100 Antwerpen, Belgique",+32 3 312 19 56,https://www.panos.be/nl/winkel/panos-city-deurne-%28herentalsebaan%29-23498,https://www.google.com/search?q=panos-city-deurne-herentalsebaan-Herentalsebaan,"{'mardi': '07:00–18:00', 'mercredi': '07:00–18:00', 'jeudi': '07:00–18:00', 'vendredi': '07:00–18:00', 'samedi': '08:30–16:30', 'dimanche': 'Fermé', 'lundi': '07:00–18:00'}",23498,"4,0",,252,NOK,
Panos City Deurne (Turnhoutsebaan),"Turnhoutsebaan 73, 2100 Antwerpen, Belgique",+32 3 296 71 50,https://www.panos.be/nl/magasin/panos-city-deurne-%28turnhoutsebaan%29-23937,https://www.google.com/search?q=panos-city-deurne-turnhoutsebaan-Turnhoutsebaan,"{'mardi': '07:00–18:00', 'mercredi': '07:00–18:00', 'jeudi': '07:00–18:00', 'vendredi': '07:00–18:00', 'samedi': '08:00–16:00', 'dimanche': 'Fermé', 'lundi': '07:00–18:00'}",23937,"4,0",,202,OK,
Panos City Diest,"Botermarkt 18, 3290 Diest, Belgique",+32 13 32 16 72,https://www.panos.be/nl/winkel/panos-city-diest-23033,https://www.google.com/search?q=panos-city-diest-Botermarkt,"{'mardi': '07:00–17:00', 'mercredi': '07:00–17:00', 'jeudi': '07:00–17:00', 'vendredi': '07:00–17:00', 'samedi': '07:00–17:00', 'dimanche': 'Fermé', 'lundi': '07:00–17:00'}",23033,"4,2",,252,OK,
Panos City Eeklo,"Markt 87, 9900 Eeklo, Belgique",+32 9 377 99 91,https://www.panos.be/nl/winkel/panos-city-eeklo-23076,https://www.google.com/search?q=panos-city-eeklo-Markt,"{'mardi': '06:30–18:00', 'mercredi': '06:30–18:00', 'jeudi': '06:30–18:00', 'vendredi': '06:30–18:00', 'samedi': '07:00–17:00', 'dimanche': 'Fermé', 'lundi': '06:30–18:00'}",23076,"4,1",,367,OK,
Panos City Etterbeek (Tongerenstraat),"Rue des Tongres 19, 1040 Etterbeek, Belgique",+32 2 742 97 04,https://www.panos.be/nl/winkel/panos-city-etterbeek-%28tongerenstraa%29-23075,https://www.google.com/search?q=panos-city-etterbeek-tongerenstraa-Tongerenstraat,"{'mardi': '07:30–18:00', 'mercredi': '07:30–18:00', 'jeudi': '07:30–18:00', 'vendredi': '07:30–18:00', 'samedi': '07:30–18:00', 'dimanche': 'Fermé', 'lundi': '07:30–18:00'}",23075,"3,4",,235,NOK,
Panos City Etterbeek (Waversesteenweg),"Chau. de Wavre 701, 1040 Etterbeek, Belgique",+32 2 649 38 94,https://www.panos.be/nl/winkel/panos-city-etterbeek-%28waversesteenw%29-23039,https://www.google.com/search?q=panos-city-etterbeek-waversesteenw-Waversesteenweg,"{'mardi': '07:00–18:00', 'mercredi': '07:00–18:00', 'jeudi': '07:00–18:00', 'vendredi': '07:00–18:00', 'samedi': '08:00–18:00', 'dimanche': 'Fermé', 'lundi': '07:00–18:00'}",23039,"4,1",,233,NOK,
Panos City Geel,"Nieuwstraat 66, 2440 Geel, Belgique",+32 14 59 48 49,https://www.panos.be/nl/winkel/panos-city-geel-23091,https://www.google.com/search?q=panos-city-geel-Nieuwstraat,"{'mardi': '07:30–17:00', 'mercredi': 'Fermé', 'jeudi': '07:30–17:00', 'vendredi': '07:30–17:00', 'samedi': '08:30–17:00', 'dimanche': 'Fermé', 'lundi': '07:30–17:00'}",23091,"3,9",,400,OK,
Panos City Genk,"Rootenstraat 8, 3600 Genk, Belgique",+32 89 25 66 63,https://www.panos.be/nl/winkel/panos-genk-23115,https://www.google.com/search?q=panos-city-genk-Rootenstraat,"{'mardi': '09:00–19:00', 'mercredi': '09:00–19:00', 'jeudi': '09:00–19:00', 'vendredi': '09:00–19:00', 'samedi': '09:00–19:00', 'dimanche': '10:00–18:00', 'lundi': '09:00–19:00'}",23115,"3,7",,230,NOK,
Panos City Gent (Lange Munt),"Langemunt 55/57, 9000 Ghent, Belgique",+32 9 224 28 72,https://www.panos.be/nl/winkel/panos-city-gent-%28lange-munt%29-23007,https://www.google.com/search?q=panos-city-gent-lange-munt-Lange-Munt,"{'mardi': '07:00–18:00', 'mercredi': '07:00–18:00', 'jeudi': '07:00–18:00', 'vendredi': '07:00–18:00', 'samedi': '08:00–18:00', 'dimanche': 'Fermé', 'lundi': '07:00–18:00'}",23007,"3,5",,283,OK,
Panos City Gent (Veldstraat),"Veldstraat 96, 9000 Gent, Belgique",+32 9 223 52 56,https://www.panos.be/nl/winkel/panos-city-gent-%28veldstraat%29-23083,https://www.google.com/search?q=panos-city-gent-veldstraat-Veldstraat,"{'mardi': '06:30–18:30', 'mercredi': '06:30–18:30', 'jeudi': '06:30–18:30', 'vendredi': '06:30–18:30', 'samedi': '06:30–18:30', 'dimanche': '07:30–18:00', 'lundi': '06:30–18:30'}",23083,"3,7",,631,OK,
Panos City Gent (Walpoortstraat),"Walpoortstraat 26, 9000 Gent, Belgique",+32 9 384 70 56,https://www.panos.be/nl/winkel/panos-city-gent-%28walpoortstraat%29-23958,https://www.google.com/search?q=panos-city-gent-walpoortstraat-Walpoortstraat,"{'mardi': '06:00–18:30', 'mercredi': '06:00–18:30', 'jeudi': '06:00–18:30', 'vendredi': '06:00–18:30', 'samedi': '07:00–18:30', 'dimanche': '07:00–18:30', 'lundi': '06:00–18:30'}",23958,"3,5",,238,OK,
Panos City Gent (Zuid),"4/224, Shoppingcenter Gent Zuid, Woodrow Wilsonplein, 9000 Gent, Belgique",+32 9 234 06 54,https://www.panos.be/nl/winkel/panos-gent-23065,https://www.google.com/search?q=panos-city-gent-zuid-Woodrow-Wilsonplein-(Shoppingcenter-Gent-Zuid),"{'mardi': '07:00–18:30', 'mercredi': '07:00–18:30', 'jeudi': '07:00–18:30', 'vendredi': '07:00–18:30', 'samedi': '08:00–18:30', 'dimanche': 'Fermé', 'lundi': '07:00–18:30'}",23065,"3,3",,134,OK,
Panos City Geraardsbergen,"Zonnebloemstraat 11/13, 9500 Geraardsbergen, Belgique",+32 54 41 87 73,https://www.panos.be/nl/winkel/panos-geraardsbergen-23078,https://www.google.com/search?q=panos-city-geraardsbergen-Zonnebloemstraat,{},23078,"4,0",,22,OK,
Panos City Halle,"Maandagmarkt 15, 1500 Halle, Belgique",+32 2 361 06 51,https://www.panos.be/nl/winkel/panos-city-halle-23044,https://www.google.com/search?q=panos-city-halle-Maandagmarkt,"{'mardi': '07:30–18:00', 'mercredi': '07:30–18:00', 'jeudi': '07:30–18:00', 'vendredi': '07:30–18:00', 'samedi': '07:30–17:00', 'dimanche': 'Fermé', 'lundi': '07:30–18:00'}",23044,"3,7",,84,OK,
Panos City Hasselt (Demerstraat),"Demerstraat 45, 3500 Hasselt, Belgique",+32 11 72 54 35,https://www.panos.be/nl/winkel/panos-city-hasselt-%28demerstraat%29-23106,https://www.google.com/search?q=panos-city-hasselt-demerstraat-Demerstraat,"{'mardi': '08:30–18:30', 'mercredi': '08:30–18:30', 'jeudi': '08:30–18:30', 'vendredi': '08:30–18:30', 'samedi': '08:30–18:30', 'dimanche': 'Fermé', 'lundi': '08:30–18:30'}",23106,"3,3",,101,OK,
Panos City Hasselt (Koning Albertstraat),"Koning Albertstraat 12, 3500 Hasselt, Belgique",+32 11 22 90 90,https://www.panos.be/nl/winkel/panos-hasselt-33009,https://www.google.com/search?q=panos-city-hasselt-k-albertstr-Koning-Albertstraat,"{'mardi': '08:30–17:30', 'mercredi': '08:30–17:30', 'jeudi': '08:30–17:30', 'vendredi': '08:30–17:30', 'samedi': '08:30–17:30', 'dimanche': 'Fermé', 'lundi': '08:30–17:30'}",33009,"3,1",,54,OK,
Panos City Hasselt (Quartier Bleu),"Gelatineboulevard 6/0.05, 3500 Hasselt, Belgique",+32 11 45 52 16,https://www.panos.be/nl/winkel/panos-city-hasselt-quartier-bleu-23571,https://www.google.com/search?q=panos-city-hasselt-quartier-bleu-Gelatineboulevard,"{'mardi': '08:00–18:00', 'mercredi': '08:00–18:00', 'jeudi': '08:00–18:00', 'vendredi': '08:00–18:00', 'samedi': '08:00–18:00', 'dimanche': 'Fermé', 'lundi': '08:00–18:00'}",23571,"3,8",,112,NOK,
Panos City Heist-op-den-Berg,"Bergstraat 89, 2220 Heist-op-den-Berg, Belgique",+32 15 24 57 81,https://www.panos.be/nl/winkel/panos-city-heist-op-den-berg-heist-op-den-berg-23101,https://www.google.com/search?q=panos-city-heist-op-den-berg-Bergstraat,"{'mardi': '07:00–17:00', 'mercredi': '07:00–17:00', 'jeudi': '07:00–17:00', 'vendredi': '07:00–17:00', 'samedi': '08:00–17:00', 'dimanche': 'Fermé', 'lundi': '07:00–17:00'}",23101,"3,9",,187,OK,
Panos City Houthalen,"Vredelaan 37, 3530 Houthalen-Helchteren, Belgique",+32 11 73 53 59,https://www.panos.be/nl/winkel/panos-city-houthalen-23013,https://www.google.com/search?q=panos-city-houthalen-Vredelaan,"{'mardi': '07:00–16:00', 'mercredi': '07:00–16:00', 'jeudi': '07:00–16:00', 'vendredi': '07:00–16:00', 'samedi': '08:00–16:00', 'dimanche': 'Fermé', 'lundi': '07:00–16:00'}",23013,"4,0",,158,OK,
Panos City Ieper,"Boterstraat 24, 8900 Ieper, Belgique",+32 57 20 89 67,https://www.panos.be/nl/winkel/panos-ieper-23030,https://www.google.com/search?q=panos-city-ieper-Boterstraat,"{'mardi': '06:30–18:00', 'mercredi': '06:30–18:00', 'jeudi': '06:30–18:00', 'vendredi': '06:30–18:00', 'samedi': '06:30–17:30', 'dimanche': 'Fermé', 'lundi': '06:30–18:00'}",23030,"4,2",,251,OK,
Panos City Jette,"Rue Léon Theodor 9, 1090 Jette, Belgique",+32 2 426 84 75,https://www.panos.be/nl/winkel/panos-city-jette-23082,https://www.google.com/search?q=panos-city-jette-L.-Theodorstraat,"{'mardi': '07:00–18:00', 'mercredi': '07:00–18:00', 'jeudi': '07:00–18:00', 'vendredi': '07:00–18:00', 'samedi': '07:00–18:00', 'dimanche': 'Fermé', 'lundi': '07:00–18:00'}",23082,"3,6",,237,NOK,
Panos City Kapellen,"Stationsstraat 11, 2950 Kapellen, Belgique",+32 3 291 31 41,https://www.panos.be/nl/winkel/panos-city-kapellen-23136,https://www.google.com/search?q=panos-city-kapellen-Stationsstraat,"{'mardi': '06:00–16:00', 'mercredi': '06:00–16:00', 'jeudi': '06:00–16:00', 'vendredi': '06:00–16:00', 'samedi': '08:00–16:00', 'dimanche': 'Fermé', 'lundi': '06:00–16:00'}",23136,"3,9",,132,OK,
